Census year,Occupation,Total Weight,multirace,aian,white,hispanic,asian,black
2007,judge,1128029.0,0.008345530123782278,0.0021657244627576065,0.8704386146100854,0.04473555201151744,0.029629557396130775,0.044685021395726526
1990,bookbinder,37767.0,0.0006089972727513438,0.005613366166229777,0.7491196017687399,0.0987369926125983,0.019779172293271904,0.12614186988640877
1960,salesperson,402520.0,0.00024843486037960845,0.0005465566928351387,0.9741130875484448,0.013614230348802544,0.0040743317102255785,0.007403358839312332
2000,broker,2202877.0,0.011786858730650872,0.003497244739492945,0.8256470969554814,0.05654015181056409,0.027074139863460373,0.07545450790035031
2007,dancer,27296.0,0.03278868698710434,0.0,0.6200175849941383,0.13903135990621338,0.0672259671746776,0.14093640093786636
2005,technician,2750147.0,0.01443341028679558,0.006538559575179072,0.7308940213014068,0.08056805690750349,0.06785710000229078,0.09970885192682427
2008,mechanic,12957943.0,0.012271083458230986,0.005560064587411752,0.6148390219033993,0.2004758780000807,0.04393351629961638,0.12292043575126083
2000,salesperson,2601530.0,0.013655810234746477,0.0028060410604528875,0.8429516476842474,0.054230779579708864,0.037388382990009725,0.0489673384508347
2001,conservationist,47645.0,0.00686325952355966,0.0014272221639206632,0.8729142617273586,0.03559659985308007,0.017798299926540036,0.06540035680554097
1940,photographer,37344.0,0.0,0.0,0.9651885175664096,0.010711225364181662,0.0026778063410454155,0.021422450728363324
1850,draftsperson,104.24,0.0,0.0,1.0,0.0,0.0,0.0
1960,official,5437060.0,0.0004892349909693842,0.0003972735265014548,0.9633699094731344,0.01369490128856404,0.005359514149190923,0.01668916657163982
1950,author,15747.0,0.0,0.0,0.9973328253000572,0.0,0.0,0.0026671746999428463
2008,housekeeper,156346.0,0.021964105253732106,0.0025584281017742697,0.639613421513822,0.09953564529952796,0.05450731070830082,0.18182108912284292
1900,official,1409030.7300000018,0.0,9.763449232934745e-05,0.9775059341679512,0.003935797766454669,0.004489213659662331,0.013971419913602578
2015,bankteller,430230.0,0.01908514050624085,0.005262301559630895,0.6303535318318109,0.1745252539339423,0.0520721474560119,0.11870162471236316
2015,electrician,993868.0,0.016134939448699426,0.006504887973050748,0.7127928457300164,0.16766009168219523,0.019934236739687767,0.07697299842635039
