word,group,year,score,top151933
mercenary,jewish,1950,28,TRUE
industrious,jewish,1950,29,TRUE
grasping,jewish,1950,17,TRUE
intelligent,jewish,1950,37,TRUE
ambitious,jewish,1950,28,TRUE
sly,jewish,1950,14,TRUE
loyal,jewish,1950,19,TRUE
persistent,jewish,1950,,TRUE
talkative,jewish,1950,,TRUE
aggressive,jewish,1950,,TRUE
religious,jewish,1950,,TRUE
materialistic,jewish,1950,,FALSE
practical,jewish,1950,,FALSE
shrewd,jewish,1960,30,TRUE
mercenary,jewish,1960,15,TRUE
industrious,jewish,1960,33,TRUE
grasping,jewish,1960,17,TRUE
intelligent,jewish,1960,37,TRUE
ambitious,jewish,1960,48,TRUE
sly,jewish,1960,7,TRUE
loyal,jewish,1960,19,TRUE
persistent,jewish,1960,9,TRUE
talkative,jewish,1960,3,TRUE
aggressive,jewish,1960,23,TRUE
religious,jewish,1960,7,TRUE
materialistic,jewish,1960,46,FALSE
practical,jewish,1960,19,FALSE
